iterator,x,y,z
1.0,-1.4220000505447388,1.2431519280653447e-07,0.0
1.0,-1.4199848175048828,-0.006565064657479525,0.0
1.0,-1.4199392795562744,-0.013130112551152706,0.0
1.0,-1.4198633432388306,-0.01969487965106964,0.0
1.0,-1.4197571277618408,-0.026259226724505424,0.0
1.0,-1.4196205139160156,-0.03282301127910614,0.0
1.0,-1.4194536209106445,-0.039386097341775894,0.0
1.0,-1.4252532720565796,-0.04614248871803284,0.0
1.0,-1.4250247478485107,-0.0527314692735672,0.0
1.0,-1.424765706062317,-0.059319328516721725,0.0
1.0,-1.424476146697998,-0.06590591371059418,0.0
1.0,-1.420161485671997,-0.07228775322437286,0.0
1.0,-1.4198120832443237,-0.07885292172431946,0.0
1.0,-1.4194324016571045,-0.08541639894247055,0.0
1.0,-1.4190223217010498,-0.0919780507683754,0.0
1.0,-1.4185818433761597,-0.09853773564100266,0.0
1.0,-1.4181110858917236,-0.10509531199932098,0.0
1.0,-1.4176100492477417,-0.11165064573287964,0.0
1.0,-1.4190717935562134,-0.11836984008550644,0.0
1.0,-1.4165170192718506,-0.12475401163101196,0.0
1.0,-1.415925145149231,-0.13130176067352295,0.0
1.0,-1.4153029918670654,-0.1378467082977295,0.0
1.0,-1.414650559425354,-0.14438870549201965,0.0
1.0,-1.4159564971923828,-0.15113988518714905,0.0
1.0,-1.417230248451233,-0.15790623426437378,0.0
1.0,-1.416485071182251,-0.16445693373680115,0.0
1.0,-1.4157096147537231,-0.17100411653518677,0.0
1.0,-1.4149038791656494,-0.1775476336479187,0.0
1.0,-1.4140678644180298,-0.1840873658657074,0.0
1.0,-1.415183663368225,-0.19089050590991974,0.0
1.0,-1.4142858982086182,-0.19743138551712036,0.0
1.0,-1.4153375625610352,-0.20425371825695038,0.0
1.0,-1.414378046989441,-0.21079516410827637,0.0
1.0,-1.415365219116211,-0.2176360934972763,0.0
1.0,-1.4143438339233398,-0.2241775244474411,0.0
1.0,-1.4132922887802124,-0.23071415722370148,0.0
1.0,-1.4141827821731567,-0.23757721483707428,0.0
1.0,-1.4130693674087524,-0.24411296844482422,0.0
1.0,-1.413894772529602,-0.2509930729866028,0.0
1.0,-1.4127192497253418,-0.25752735137939453,0.0
1.0,-1.4134793281555176,-0.2644239068031311,0.0
1.0,-1.4122416973114014,-0.2709560990333557,0.0
1.0,-1.4109739065170288,-0.2774825394153595,0.0
1.0,-1.4116365909576416,-0.28439804911613464,0.0
1.0,-1.410306692123413,-0.29092150926589966,0.0
1.0,-1.4128602743148804,-0.2982649803161621,0.0
1.0,-1.411466121673584,-0.30479398369789124,0.0
1.0,-1.4100419282913208,-0.31131646037101746,0.0
1.0,-1.4105384349822998,-0.31827250123023987,0.0
1.0,-1.409051775932312,-0.3247905373573303,0.0
1.0,-1.4094818830490112,-0.33175987005233765,0.0
1.0,-1.407932996749878,-0.3382728695869446,0.0
1.0,-1.4102389812469482,-0.34573110938072205,0.0
1.0,-1.4086254835128784,-0.3522474765777588,0.0
1.0,-1.4089198112487793,-0.3592504560947418,0.0
1.0,-1.409179449081421,-0.36626365780830383,0.0
1.0,-1.4074710607528687,-0.3727749288082123,0.0
1.0,-1.4095945358276367,-0.3803201913833618,0.0
1.0,-1.4078210592269897,-0.38683319091796875,0.0
1.0,-1.406017541885376,-0.3933379352092743,0.0
1.0,-1.4061075448989868,-0.40038201212882996,0.0
1.0,-1.4042413234710693,-0.40687867999076843,0.0
1.0,-1.4061819314956665,-0.41449761390686035,0.0
1.0,-1.4042505025863647,-0.42099449038505554,0.0
